5,3,2.1,1.4,0.8,0.4,0,0.4,0.75,1.4,2.1,3,5
5,2.9,1.9,1.1,0.6,0.1,0.1,0.5,0.9,1.5,2.25,3.2,5
4.9,2.7,1.75,0.9,0.4,0.05,0.3,0.7,1.1,1.65,2.4,3.35,5
4.8,2.5,1.5,0.7,0.2,0.1,0.5,0.8,1.25,1.8,2.6,3.5,4.9
4.7,2.35,1.25,0.4,0.1,0.3,0.7,1,1.4,1.95,2.75,3.6,4.9
4.5,2,0.9,0.25,0.3,0.6,0.8,1.2,1.5,2.05,2.9,3.75,4.9
4,1.75,0.55,0.1,0.5,0.75,1.05,1.3,1.75,2.25,3,4,4.9
3.5,1.4,0.35,0.1,0.75,1,1.2,1.5,1.8,2.35,3.1,4.04,4.85
3,0.75,0.2,0.65,1,1.25,1.45,1.75,2,2.5,3.3,4.05,4.8
2.5,0.4,0.5,1,1.25,1.5,1.7,1.9,2.25,2.6,3.4,4.06,4.7
1.5,0.4,1,1.4,1.6,1.75,2,2.2,2.45,2.75,3.45,4.07,4.7
0.6,1,1.5,1.8,2.1,2.25,2.4,2.55,2.8,3.15,3.6,4.1,4.7
0.5,1.75,2.3,2.5,2.65,2.75,3,3.2,3.4,3.6,3.9,4.15,4.75
2,3,3.35,3.5,3.6,3.8,3.9,4,4.07,4.1,4.2,4.4,4.8
4,4.1,4.2,4.24,4.27,4.29,4.3,4.32,4.35,4.42,4.5,4.6,4.85
4.7,4.75,4.8,4.8,4.9,4.95,5,5.05,5.1,5.15,5.2,5.25,5.3
